Brand,Model,Frame Shape,Lens Width (mm),Bridge Width (mm),Temple Length (mm),Scraped From,Scrape Date
Zenni,Figueroa #1115821,Square,55,19,146,https://www.zennioptical.com/p/figueroa-sunglasses/11158/1115821,2026-09-13
Zenni,#1117021,Rectangle,56,17,143,https://www.zennioptical.com/p/mens-tr-rectangle-sunglass-frames/11170/1117021,2026-09-13
Firmoo,Judy321,Square,52,18,145,https://www.firmoo.com/sunglasses-p-13622.html,2026-09-13
Firmoo,LT4126,Rectangle,54,17,143,https://www.firmoo.com/sunglasses-p-7585.html,2026-09-13
Firmoo,S52617,Square,54,17,145,https://www.firmoo.com/sunglasses-p-4806.html,2026-09-13
Yesglasses,Murillo t19392-332,Rectangle,55,19,145,https://www.yesglasses.com/shop/tinted-sunglasses/t19392-332,2026-09-13
