Brand,Model,Frame Shape,Lens Width (mm),Bridge Width (mm),Temple Length (mm),Scraped From,Scrape Date
Ray-Ban,RB5154 Clubmaster Optics,Square / Browline,51,21,145,https://www.ray-ban.com/usa/eyeglasses/RX5154%20MALE%20clubmaster%20optics-transparent/8053672832839,2026-09-13
Ray-Ban,RB5228,Square,53,17,140,https://www.ray-ban.com/usa/eyeglasses/RX5228%20UNISEX%20018-rb5228-tortoise/8053672429985,2026-09-13
Ray-Ban,RB5375,Square,51,18,145,"Lens 51, bridge 18: https://www.ray-ban.com/usa/eyeglasses/RX5375%20UNISEX%20rb5375%20optics-havana/8056597550161 | Temple 145: https://www.ray-ban.com/switzerland/en/eyeglasses/RX5375%20UNISEX%20rb5375%20optics-striped%20grey/8056597261210",2026-09-13
Persol,PO3189V,Rectangular D-frame,53,18,145,https://www.persol.com/en-ae/products/0po3189v-95,2026-09-13
Maui Jim,MJO2304,Rectangular,50,17,148,https://www.mauijim.com/US/en_US/shop/eyeglasses/acetate/mjo2304,2026-09-13
