Brand,Model,Frame Shape,Lens Width (mm),Bridge Width (mm),Temple Length (mm),Scraped From,Scrape Date
Zenni,#127339,Oval,52,16,140,https://www.zennioptical.com/p/womens-tr-oval-eyeglass-frames/1273/127339,2026-09-13
Zenni,#7801821,Round,54,17,145,https://www.zennioptical.com/p/round-eyeglass-frames/78018/7801821,2026-09-13
Zenni,#3216721,Round,51,19,135,https://www.zennioptical.com/p/stainless-steel-round-eyeglass-frames/32167/3216721,2026-09-13
Yesglasses,Lachard e19304,Round,48,23,150,https://www.yesglasses.com/shop/eyeglasses/e19304,2026-09-13
Yesglasses,Belly e15613,Round,48,18,135,https://www.yesglasses.com/shop/eyeglasses/e15613,2026-09-13
Firmoo,TM39028,Round,51,18,147,https://www.firmoo.com/eyeglasses-p-12174.html,2026-09-13
Firmoo,AC09219,Round,50,24,145,https://www.firmoo.com/eyeglasses-p-13981.html,2026-09-13
