Brand,Model,Frame Shape,Lens Width (mm),Bridge Width (mm),Temple Length (mm),Scraped From,Scrape Date
Warby Parker,Percey,Panto / Round,48,20,140,https://www.warbyparker.com/eyeglasses/percey/striped-sassafras,2026-09-13
Warby Parker,Haskell,Panto / Round,50,21,145,https://www.warbyparker.com/eyeglasses/haskell/crystal,2026-09-13
Zenni,#2046121,Rectangle,53,16,140,https://www.zennioptical.com/p/plastic-rectangle-eyeglass-frames/20461/2046121,2026-09-13
Zenni,#239621,Rectangle,54,18,141,https://www.zennioptical.com/p/tr-rectangle-eyeglass-frames/2396/239621,2026-09-13
Zenni,#4411935,Round,49,19,143,https://www.zennioptical.com/p/acetate-round-eye-glass-frames/44119/4411935,2026-09-13
