style,named_model,source_statement,lens_width,bridge_width,temple_length,source_name,source_url,measurement_source_or_reason
Aviator,Ray-Ban RB3025,"draw the observer's eyes downward to the tapered chin",58 mm,14 mm,135 mm,Warby Parker,https://www.warbyparker.com/learn/sunglasses-for-heart-shaped-face,https://www.ray-ban.com/usa/sunglasses/RB3025%20UNISEX%20aviator%20classic-gunmetal/805289601708
Round,Zenni #1132625,"draws attention away from a wider forehead",50 mm,24 mm,145 mm,All About Vision,https://www.allaboutvision.com/eyewear/sunglasses/fit/sunglass-frames-for-heart-shaped-faces/,"https://www.zennioptical.com/p/womens-round-sunglass-frames/11326/1132625; this colour is marked retired."
Cat-eye,Zenni #1135415,"Cat Eye and aviator sunglasses usually work well",62 mm,16 mm,132 mm,Maui Jim,https://www.mauijim.com/US/en_US/heart-shaped-face-sunglasses,"https://www.zennioptical.com/p/womens-sunglass-frames/11354/1135415; this colour is marked retired."
Rectangular,Yesglasses Murillo t19392-332,"add structure to your softer angles",55 mm,19 mm,145 mm,Vision Center,https://www.visioncenter.org/blog/sunglasses-heart-shaped-face/,https://www.yesglasses.com/shop/tinted-sunglasses/t19392-332
Rimless or light-coloured,Not stated,"broaden the lower part of your face",Not stated,Not stated,Not stated,Vision Express,https://www.visionexpress.com/sunglasses/heart-shaped-face,"The source names the style family but does not identify one model with all three official measurement fields."
