style,named_model,source_statement,lens_width,bridge_width,temple_length,source_name,source_url,measurement_source_or_reason
Aviator,Ray-Ban RB3025,"maintain the face’s natural balance",58 mm,14 mm,135 mm,Who What Wear,https://www.whowhatwear.com/fashion/shopping/best-sunglasses-trend-for-your-face-shape-2026,https://www.ray-ban.com/usa/sunglasses/RB3025%20UNISEX%20aviator%20classic-gunmetal/805289601708
Rectangular,Ray-Ban RB3780,"work well for oval faces",63 mm,16 mm,135 mm,All About Vision,https://www.allaboutvision.com/eyewear/sunglasses/fit/sunglass-frames-for-oval-faces/,https://www.ray-ban.com/usa/sunglasses/RB3780rb3780-gunmetal/8056262837184
Cat-eye,Zenni #1135415,"square or cat’s eye frames",62 mm,16 mm,132 mm,Skin Cancer Foundation,https://www2.skincancer.org/wp-content/uploads/How-to-Select-the-Perfect-Pair-of-Sunglasses.pdf,https://www.zennioptical.com/p/womens-sunglass-frames/11354/1135415
Square,Firmoo Judy321,"wide around the eyes",52 mm,18 mm,145 mm,All About Vision,https://www.allaboutvision.com/eyewear/sunglasses/fit/sunglass-frames-for-oval-faces/,https://www.firmoo.com/eyeglasses-p-6686.html
Round,Zenni #1132625,"softer curves help add balance",50 mm,24 mm,145 mm,Woman & Home,https://www.womanandhome.com/fashion/best-sunglasses-for-every-budget-style-and-face-shape/,https://www.zennioptical.com/p/womens-round-sunglass-frames/11326/1132625
