Brand,Model,Frame Shape,Lens Width (mm),Bridge Width (mm),Temple Length (mm),Scraped From,Scrape Date
Zenni,#P156021,Round,49,19,135,https://www.zennioptical.com/p/stainless-steel-round-eyeglass-frames/P1560/P156021,2026-09-13
Zenni,#4429515,Round,48,19,145,https://www.zennioptical.com/p/acetate-round-eyeglass-frames/44295/4429515,2026-09-13
Zenni,#125716,Round,49,18,148,https://www.zennioptical.com/p/womens-plastic-round-eyeglass-frames/1257/125716,2026-09-13
Zenni,#450014,Round,42,27,138,https://www.zennioptical.com/p/metal-alloy-full-rim-frame-with-spring-hinge-/4500/450014,2026-09-13
Zenni,#2029515,Oval,48,21,145,https://www.zennioptical.com/p/plastic-oval-eyeglass-frames/20295/2029515,2026-09-13
Ray-Ban,RB3447V Round Metal Optics,Round,50,21,145,https://www.ray-ban.com/usa/eyeglasses/0RX3447V-ROUND%20METAL%20OPTICS-Arista%20Gold/8053672727692,2026-09-13
Yesglasses,Haharou e19461,Round,49,19,145,https://www.yesglasses.com/shop/eyeglasses/e19461,2026-09-13
